index,color
0x00,#000000
0x01,#004aa1
0x02,#00619b
0x03,#004abb
0x04,#0054b0
0x05,#005ab8
0x06,#006eb0
0x07,#006ebb
0x08,#b4ffb4
0x09,#0062d2
0x0a,#000000
0x0b,#2f2f2f
0x0c,#c8d8ff
0x0d,#575757
0x0e,#251006
0x0f,#2f1a11
0x10,#000052
0x11,#001582
0x12,#1331a1
0x13,#305db6
0x14,#4a79d0
0x15,#6ea6eb
0x16,#97ceff
0x17,#cdfaff
0x18,#402b17
0x19,#43331b
0x1a,#462006
0x1b,#4b392a
0x1c,#54402b
0x1d,#574525
0x1e,#57391b
0x1f,#5e4a30
0x20,#410000
0x21,#690b00
0x22,#a01500
0x23,#e60b00
0x24,#ff0000
0x25,#ff6464
0x26,#ffa0a0
0x27,#ffdcdc
0x28,#614d43
0x29,#673a15
0x2a,#714b33
0x2b,#714b0d
0x2c,#736954
0x2d,#7d6148
0x2e,#7d4a00
0x2f,#81745f
0x30,#000000
0x31,#000700
0x32,#002000
0x33,#003b00
0x34,#005700
0x35,#007200
0x36,#008d00
0x37,#00a900
0x38,#867e76
0x39,#874000
0x3a,#886c4f
0x3b,#90640c
0x3c,#927d69
0x3d,#996a37
0x3e,#9f7958
0x3f,#a64a00
0x40,#50331a
0x41,#8c4e09
0x42,#bf7b00
0x43,#ffc700
0x44,#fff725
0x45,#ffff61
0x46,#ffffa6
0x47,#ffffe3
0x48,#a78766
0x49,#ac9073
0x4a,#af7e24
0x4b,#af9780
0x4c,#b99792
0x4d,#baa687
0x4e,#bb5400
0x4f,#bb9c7d
0x50,#6e1700
0x51,#962400
0x52,#d23700
0x53,#ff5000
0x54,#ff8201
0x55,#ffb415
0x56,#ffd24b
0x57,#ffeba0
0x58,#bd966f
0x59,#bfa973
0x5a,#c3ae9c
0x5b,#c4aa92
0x5c,#c48058
0x5d,#c4a687
0x5e,#c5bbb0
0x5f,#cca024
0x60,#001010
0x61,#002529
0x62,#005050
0x63,#007873
0x64,#00ac96
0x65,#26dfaa
0x66,#6dfcbf
0x67,#baffde
0x68,#cea985
0x69,#cf690c
0x6a,#cfb09c
0x6b,#e4a252
0x6c,#d7ba9b
0x6d,#d8a279
0x6e,#d97218
0x6f,#dfeaff
0x70,#2f002e
0x71,#4f004b
0x72,#850c79
0x73,#aa2f9b
0x74,#d33ac9
0x75,#f16ce8
0x76,#ffa9ff
0x77,#ffd2ff
0x78,#da9c69
0x79,#deb188
0x7a,#e1b15a
0x7b,#e2c3aa
0x7c,#e8b478
0x7d,#ebcab5
0x7e,#ebd8be
0x7f,#edc7a5
0x80,#1c1c1c
0x81,#434343
0x82,#6a6a6a
0x83,#919191
0x84,#b9b9b9
0x85,#dfdfdf
0x86,#f7f7f7
0x87,#ffffff
0x88,#f7d3bf
0x89,#f8c98a
0x8a,#ffce9d
0x8b,#ffe1c9
0x8c,#ffeed9
0x8d,#ffe2a1
0x8e,#d8dfff
0x8f,#fffff3
0x90,#181800
0x91,#252511
0x92,#1b2f00
0x93,#2f3911
0x94,#434d07
0x95,#4d4d2f
0x96,#2c4d03
0x97,#5e5435
0x98,#5f6127
0x99,#616143
0x9a,#43611d
0x9b,#6a7339
0x9c,#74734b
0x9d,#577407
0x9e,#768241
0x9f,#82884d
0xa0,#8a8b57
0xa1,#949b64
0xa2,#9c9c8b
0xa3,#809d54
0xa4,#95a661
0xa5,#afa56a
0xa6,#b0b09f
0xa7,#92b043
0xa8,#c2be94
0xa9,#a5c46c
0xaa,#a6c44d
0xab,#cebb80
0xac,#cecc9b
0xad,#ccd94d
0xae,#dddaa6
0xaf,#c4e274
0xb0,#f3aa5c
0xb1,#031c00
0xb2,#072600
0xb3,#072f07
0xb4,#133000
0xb5,#1b3911
0xb6,#2f392f
0xb7,#1c3e00
0xb8,#0e440e
0xb9,#29451c
0xba,#214912
0xbb,#2f572f
0xbc,#4d6139
0xbd,#436143
0xbe,#57744d
0xbf,#467730
0xc0,#bdd1fd
0xc1,#6a8861
0xc2,#c4eca6
0xc3,#173521
0xc4,#2b5440
0xc5,#257439
0xc6,#172b35
0xc7,#022135
0xc8,#021735
0xc9,#214040
0xca,#002261
0xcb,#003373
0xcc,#2b404a
0xcd,#002b4a
0xce,#040609
0xcf,#007bbd
0xd0,#405454
0xd1,#0073cf
0xd2,#17174a
0xd3,#0c1740
0xd4,#ffb162
0xd5,#00407d
0xd6,#021754
0xd7,#008aba
0xd8,#406969
0xd9,#0092c5
0xda,#5e6969
0xdb,#004a7d
0xdc,#007dcf
0xdd,#5f8541
0xde,#54737d
0xdf,#40697d
0xe0,#004092
0xe1,#003587
0xe2,#739c9c
0xe3,#5492b0
0xe4,#92b0bb
0xe5,#ffc979
0xe6,#69a6c5
0xe7,#7dc5d9
0xe8,#9cc5d9
0xe9,#6d7e21
0xea,#719924
0xeb,#157615
0xec,#339727
0xed,#46b53b
0xee,#59df59
0xef,#83f578
0xf0,#98c0f0
0xf1,#00ff00
0xf2,#0000ff
0xf3,#ffff00
0xf4,#ffd900
0xf5,#f0f0ff
0xf6,#f0f7ff
0xf7,#f7f7ff
0xf8,#f7ffff
0xf9,#557734
0xfa,#819731
0xfb,#00ffff
0xfc,#ff00ff
0xfd,#008bd2
0xfe,#00a0f3
0xff,#ffffff